Study,Year,PMID,experimental_events,experimental_total,control_events,control_total, Cofactor,
Tuchschmidt,1992,0,13,26,18,25,'EGDT',
Rivers,2001,0,38,130,59,133,'EGDT',
Lin,2006,0,58,108,83,116,'EGDT',
Chen,2007,0,20,58,34,65,'EGDT',
He,2007,0,51,98,68,105,'EGDT',
Yan,2010,0,55,157,74,146,'EGDT',
ProCESS,2014,0,92,439,86,456,'EGDT',
ARISE,2014,25272316,117,793,127,798,'EGDT',
